file_name,publishable,reason,section_similarities,scientific_scores
P118.pdf,Yes,Total Score: 0.666 (Section Coherence: 0.381; Scientific Rigor: 0.285),"{'introduction': 0.8321289, 'conclusion': 0.69192743}","{'abstract': 0.5708392858505249, 'introduction': 0.612917939821879, 'conclusion': 0.5284550189971924}"
P111.pdf,No,Total Score: 0.638 (Methodology: 0.224; Section Coherence: 0.240; Scientific Rigor: 0.174),"{'abstract': 0.6409953, 'introduction': 0.8030432, 'methodology': 0.78759426, 'results': 0.8082999, 'conclusion': 0.95567864}","{'abstract': 0.5930254062016805, 'introduction': 0.5890880652836391, 'methodology': 0.5611745938658714, 'results': 0.6013464956056505, 'conclusion': 0.5536249170700709}"
P134.pdf,Yes,Total Score: 0.710 (Methodology: 0.272; Section Coherence: 0.255; Scientific Rigor: 0.183),"{'abstract': 0.85216177, 'introduction': 0.92949307, 'methodology': 0.7679743, 'results': 0.8473326}","{'abstract': 0.5429062445958456, 'introduction': 0.6018072153840747, 'methodology': 0.6801335083113776, 'results': 0.6152924860225004}"
P129.pdf,No,Total Score: 0.628 (Methodology: 0.212; Section Coherence: 0.256; Scientific Rigor: 0.160),"{'abstract': 0.83864474, 'introduction': 0.820413, 'methodology': 0.9201067, 'results': 0.83266556}","{'abstract': 0.5220943291982015, 'introduction': 0.5412533164024353, 'methodology': 0.5305126243167453, 'results': 0.5400026440620422}"
P125.pdf,Yes,Total Score: 0.714 (Section Coherence: 0.403; Scientific Rigor: 0.311),"{'abstract': 0.7646934, 'introduction': 0.8478924}","{'abstract': 0.6495106220245361, 'introduction': 0.5946894884109497}"
P119.pdf,No,Total Score: 0.638 (Methodology: 0.215; Section Coherence: 0.256; Scientific Rigor: 0.167),"{'abstract': 0.8298694, 'introduction': 0.78078246, 'methodology': 0.8965085, 'results': 0.912026}","{'abstract': 0.5687431693077087, 'introduction': 0.585835208495458, 'methodology': 0.5364563010987782, 'results': 0.5344252950615354}"
P132.pdf,No,Total Score: 0.627 (Methodology: 0.222; Section Coherence: 0.238; Scientific Rigor: 0.167),"{'abstract': 0.61746585, 'introduction': 0.8877432, 'methodology': 0.882619, 'results': 0.78878}","{'abstract': 0.5461217164993286, 'introduction': 0.5370393480573382, 'methodology': 0.5547189513842264, 'results': 0.5933200319608053}"
P114.pdf,Yes,Total Score: 0.759 (Section Coherence: 0.492; Scientific Rigor: 0.267),{'introduction': 0.98304415},"{'abstract': 0.5291957855224609, 'introduction': 0.5405380328496298}"
P121.pdf,No,Total Score: 0.638 (Methodology: 0.211; Section Coherence: 0.246; Scientific Rigor: 0.181),"{'abstract': 0.68514514, 'introduction': 0.8100205, 'methodology': 0.8734393, 'results': 0.90487}","{'abstract': 0.6280178725719452, 'introduction': 0.6148821115493774, 'methodology': 0.5275655918651156, 'results': 0.6458193063735962}"
P110.pdf,No,Total Score: 0.613 (Section Coherence: 0.338; Scientific Rigor: 0.275),"{'abstract': 0.6811992, 'introduction': 0.67055726}","{'abstract': 0.5320119559764862, 'introduction': 0.5681067258119583}"
